2312001,Sườn,2023-12-01 16:00:59.200,1.0,1,30000
2312002,Nạc xay,2023-12-01 16:01:19.503,1.0,1,7000
2312003,Cà chua,2023-12-01 16:01:43.170,1.0,1,2000
2312004,Dưa leo,2023-12-01 16:01:54.300,1.0,1,4000
2312005,Bắp cải,2023-12-01 16:02:04.620,1.0,1,3000
2312006,Sốt ướp thịt,2023-12-01 16:02:27.177,1.0,1,8000
2312007,Warior dâu,2023-12-02 16:02:44.657,2.0,1,22000
2312008,Cốt hủ tíu,2023-12-02 16:03:29.427,1.0,1,15000
2312009,Cần tây,2023-12-02 16:03:46.333,1.0,1,2000
2312010,Sườn non,2023-12-02 16:03:57.633,1.0,1,56000
2312011,Coffee,2023-12-02 16:04:23.090,1.0,1,50000
2312012,breakfast,2023-12-03 16:37:15.220,1.0,1,15000
2312013,Cà chua,2023-12-03 16:37:37.290,1.0,1,3000
2312014,Nạc xay,2023-12-03 16:37:57.517,1.0,1,9000
2312015,Thanh long,2023-12-03 16:38:18.200,1.0,1,15000
2312016,Nước mía,2023-12-03 16:38:42.633,1.0,1,12000
2312017,Mì Omachi,2023-12-03 16:39:09.537,1.0,1,44000
2312018,Sườn,2023-12-03 16:39:45.530,1.0,1,34000
2312019,Dưa leo,2023-12-03 16:40:02.017,1.0,1,6000
2312020,Giặt balo,2023-12-04 16:40:42.120,1.0,1,50000
2312021,breakfast,2023-12-05 16:41:08.333,1.0,1,30000
2312022,Trà,2023-12-05 16:41:38.227,1.0,1,10000
2312023,Sốt ướp thịt.,2023-12-06 16:44:32.357,1.0,1,8000
2312024,Cà chua.,2023-12-06 16:44:38.790,1.0,1,6000
2312025,Dưa leo.,2023-12-06 16:44:42.747,2.0,1,8000
2312026,Sườn.,2023-12-06 16:44:47.533,1.0,1,40000
2312027,Nạc xay.,2023-12-06 16:44:51.803,1.0,1,5000
2312028,Trà Bouncha,2023-12-06 16:44:59.267,1.0,1,13000
2312029,Give xăng,2023-12-06 16:45:04.843,1.0,1,50000
2312030,Dinner,2023-12-06 16:44:17.510,1.0,1,40000
2312031,Bánh mì,2023-12-07 16:45:33.687,1.0,1,20000
2312032,Bạc xỉu,2023-12-07 16:45:50.527,1.0,1,15000
2312033,Bánh canh,2023-12-07 16:46:03.827,1.0,1,32000
2312034,Giặt đồ,2023-12-07 16:46:17.527,1.0,1,35000

(34 rows affected)
